City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Padang,ID,86,few clouds,-0.9492,100.3543,Mercure Padang
406,Couva,TT,77,clear sky,10.4225,-61.4675,Metro Hotel
407,Jambi,ID,83.41,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
408,Bhadrachalam,IN,81.18,clear sky,17.6667,80.8833,Hotel Srinidhi Residency
413,Saint-Georges,GD,78.8,light rain,12.0564,-61.7485,Siesta Hotel
414,Kokopo,PG,84.81,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
415,Manakara,MG,80.67,light rain,-22.1333,48.0167,La Residence Manakara
424,Kilinochchi,LK,81.64,broken clouds,9.3961,80.3982,Solaivanam Guest House
426,Iquitos,PE,75.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
428,Buluang,PH,82.9,scattered clouds,13.3068,123.3425,Enon Beach Resort
430,Iralaya,HN,76.98,light rain,15,-83.2333,Iglesia morava renovada
433,Kupang,ID,86,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
443,Meulaboh,ID,81.27,scattered clouds,4.1363,96.1285,Kost Pria
445,Devarkonda,IN,78.08,few clouds,16.7,78.9333,VANAM ANJANEYULU
463,Salina Cruz,MX,77.07,clear sky,16.1667,-95.2,Amerik HOTEL
469,Puerto Colombia,CO,78.8,clear sky,10.9878,-74.9547,Hotel El Emigrante
473,Iranduba,BR,75.2,light rain,-3.2847,-60.1861,Evolução Ecolodge
474,The Valley,AI,77,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
476,Yeppoon,AU,86,scattered clouds,-23.1333,150.7333,Villa Mar Colina
478,Peringat,MY,80.6,few clouds,6.0333,102.2833,Daseda Guest House
480,Pundaguitan,PH,83.14,light rain,6.3711,126.1689,Leonardo Family Beach House 1
483,Pathein,MM,83.14,clear sky,16.7833,94.7333,Pathein Hotel
485,Formosa,AR,77,clear sky,-26.1775,-58.1781,Asterión Hotel
488,Buala,SB,86.05,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
492,Atambua,ID,83.03,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
499,Pedernales,DO,75.33,few clouds,18.0384,-71.744,Hotel Costa Marina
505,Chirongui,YT,80.6,few clouds,-12.9319,45.1483,La Villa Mahatsara
512,Aracaju,BR,80.6,few clouds,-10.9111,-37.0717,HOTEL FÊNIX
513,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
515,Tautira,PF,86,broken clouds,-17.7333,-149.15,Pension Oaoa
519,Tagusao,PH,82.62,light rain,9.1924,117.8141,Toledo
525,Acapulco,MX,78.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
528,Mackay,AU,84.2,broken clouds,-21.15,149.2,International Lodge Motel
533,Manado,ID,87.8,light rain,1.487,124.8455,Aryaduta Hotel
541,Mogadishu,SO,77.7,clear sky,2.0371,45.3438,Hotel Juba
544,Angoche,MZ,76.24,light rain,-16.2325,39.9086,Guest House HESADA
548,Dalby,AU,88,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
549,Itarema,BR,78.62,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
553,Miri,MY,77,light rain,4.4148,114.0089,"Mega Hotel, Miri"
554,Moron,AR,81,clear sky,-34.6534,-58.6198,Hotel Morón
561,Port Hedland,AU,87.8,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
572,Koumac,NC,79.84,overcast clouds,-20.5667,164.2833,Le Monitel
579,Kathu,TH,84.2,few clouds,7.9178,98.3332,Novotel Phuket Resort
589,Udankudi,IN,80.6,mist,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
592,Kununurra,AU,77,moderate rain,-15.7667,128.7333,Hotel Kununurra
593,Pak Phanang,TH,87.8,few clouds,8.3511,100.202,Green Park Inn Hotel
594,Martaban,MM,81,clear sky,16.5314,97.6111,Lu Wa Gyi Guest House
596,Charters Towers,AU,86.09,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
599,Cape Coast,GH,78.22,broken clouds,5.1053,-1.2466,Samrit Hotel
605,Mount Gambier,AU,77,broken clouds,-37.8333,140.7667,Commodore on the Park
607,Dingle,PH,82.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
609,Bubaque,GW,77.76,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
613,Nosy Varika,MG,81.05,broken clouds,-20.5833,48.5333,Hotel Volazara
615,Maumere,ID,86.05,broken clouds,-8.6199,122.2111,Sylvia Hotel
616,Ikwiriri,TZ,75.99,light rain,-7.9562,38.9716,Greenland lodge
618,Mahibadhoo,MV,82.13,broken clouds,3.7833,72.9667,Omadhoo Inn
625,Kawalu,ID,85.89,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
627,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
636,Cabedelo,BR,77,few clouds,-6.9811,-34.8339,Hotel Pigalle
639,Ullal,IN,77,mist,12.8,74.85,AK INTERNATIONAL LODGE
652,Tabuk,PH,82.8,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
653,Tamandare,BR,76.35,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
660,Gizo,SB,85.33,few clouds,-8.103,156.8419,Imagination Island
667,Ambilobe,MG,77.92,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
668,Emerald,AU,87.01,overcast clouds,-23.5333,148.1667,The Irish Village
671,Tual,ID,84.13,broken clouds,-5.6667,132.75,Grand Vilia Hotel
678,Namatanai,PG,84.49,overcast clouds,-3.6667,152.4333,Namatanai Hotel
694,Mamallapuram,IN,77,fog,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
