City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Lavrentiya,RU,1/5/2021 21:40,65.5833,-171,-11.78,83,7,13.31
62,Naze,JP,1/5/2021 21:38,28.3667,129.4833,59,58,90,19.46
63,Springbok,ZA,1/5/2021 21:40,-29.6643,17.8865,59.9,82,12,4.07
64,Banjar,ID,1/5/2021 21:40,-8.19,114.9675,78.8,94,40,2.24
65,Pisco,PE,1/5/2021 21:40,-13.7,-76.2167,77,73,0,18.34
66,Cidreira,BR,1/5/2021 21:40,-30.1811,-50.2056,72.23,90,100,7.54
67,Tasiilaq,GL,1/5/2021 21:40,65.6145,-37.6368,21.2,48,40,25.28
68,Ishim,RU,1/5/2021 21:40,56.1128,69.4902,-10.16,88,99,8.57
69,Vila Franca Do Campo,PT,1/5/2021 21:40,37.7167,-25.4333,55.4,87,75,18.34
70,Nikolskoye,RU,1/5/2021 21:40,59.7035,30.7861,28.4,86,90,8.95
71,Albany,US,1/5/2021 21:38,42.6001,-73.9662,35.01,80,97,2.91
72,Ilhabela,BR,1/5/2021 21:40,-23.7781,-45.3581,76.3,81,34,7.65
73,Hermanus,ZA,1/5/2021 21:40,-34.4187,19.2345,61,91,2,2.17
74,Ambilobe,MG,1/5/2021 21:40,-13.2,49.05,74.44,89,72,2.01
75,Kotido,UG,1/5/2021 21:40,2.9806,34.1331,74.88,45,0,8.97
76,Baruun-Urt,MN,1/5/2021 21:40,46.6806,113.2792,-34.85,76,82,9.42
77,Tura,IN,1/5/2021 21:36,25.5198,90.2201,61.72,52,100,2.06
78,Lebu,CL,1/5/2021 21:40,-37.6167,-73.65,59.34,75,0,20.94
79,Kavaratti,IN,1/5/2021 21:40,10.5669,72.642,82.11,75,99,7.05
80,Carnarvon,AU,1/5/2021 21:40,-24.8667,113.6333,77,69,75,9.17
81,Auki,SB,1/5/2021 21:40,-8.7676,160.7034,84.18,62,99,3.31
82,Victoria,HK,1/5/2021 21:37,22.2855,114.1577,62.01,74,66,10.45
83,Takapau,NZ,1/5/2021 21:40,-40.0333,176.35,69.01,85,71,1.99
84,Kiunga,PG,1/5/2021 21:40,-6.1219,141.2906,75.33,96,94,2.84
85,Aranos,NA,1/5/2021 21:40,-24.1333,19.1167,77.97,54,90,2.01
86,Waipawa,NZ,1/5/2021 21:40,-41.4122,175.5153,69.01,88,100,8.05
87,Parkersburg,US,1/5/2021 21:37,39.2667,-81.5615,37.4,86,90,4.7
88,Troitskoye,RU,1/5/2021 21:40,52.9821,84.6757,-10.84,85,0,9.86
89,Shihezi,CN,1/5/2021 21:40,44.3,86.0333,-13.86,87,94,2.06
90,Thompson,CA,1/5/2021 21:40,55.7435,-97.8558,6.8,84,90,4.7
91,Tehachapi,US,1/5/2021 21:40,35.1322,-118.449,57.99,43,1,6.93
92,Port Lincoln,AU,1/5/2021 21:40,-34.7333,135.8667,60.15,68,100,16.71
93,Karratha,AU,1/5/2021 21:40,-20.7377,116.8463,82.8,42,44,21.74
94,Kaitangata,NZ,1/5/2021 21:40,-46.2817,169.8464,60.01,79,4,8.01
95,Chilca,PE,1/5/2021 21:37,-12.5211,-76.7372,75,73,0,10.29
96,Najran,SA,1/5/2021 21:40,17.4924,44.1277,59,41,0,2.01
97,Kenai,US,1/5/2021 21:40,60.5544,-151.2583,28.99,68,75,13.87
98,Mount Gambier,AU,1/5/2021 21:40,-37.8333,140.7667,57.2,71,90,13.87
99,Komatipoort,ZA,1/5/2021 21:40,-25.4332,31.9548,77,84,100,2.95
100,Guerrero Negro,MX,1/5/2021 21:37,27.9769,-114.0611,69.82,42,84,9.8
101,Castro,BR,1/5/2021 21:40,-24.7911,-50.0119,67.59,93,99,3.06
102,Ribeira Grande,PT,1/5/2021 21:40,38.5167,-28.7,57.2,93,75,27.51
103,Baoshan,CN,1/5/2021 21:39,46.5586,131.4244,-11.87,87,91,3.65
104,Zharkent,KZ,1/5/2021 21:40,44.1628,80,6.01,77,82,3.87
105,Tarancon,ES,1/5/2021 21:40,40.0085,-3.0073,34,85,0,5.82
106,Mlyniv,UA,1/5/2021 21:40,50.509,25.6168,34,98,100,10.4
107,Esperance,AU,1/5/2021 21:40,-33.8667,121.9,55.4,71,90,6.93
108,Ketchikan,US,1/5/2021 21:40,55.3422,-131.6461,33.8,100,90,19.46
109,Lisala,CD,1/5/2021 21:40,2.15,21.5167,74.5,84,87,1.59
110,Jamestown,US,1/5/2021 21:40,42.097,-79.2353,33.01,98,90,7.72
111,Camana,PE,1/5/2021 21:40,-16.6228,-72.7111,73.06,69,73,5.3
112,Khani,GE,1/5/2021 21:40,41.9563,42.9566,53.6,18,0,26.4
113,Bathsheba,BB,1/5/2021 21:40,13.2167,-59.5167,80.6,65,40,16.11
114,Lagoa,PT,1/5/2021 21:40,39.05,-27.9833,58.33,80,100,41.38
115,Sosua,DO,1/5/2021 21:40,19.7667,-70.5167,80.6,69,20,9.17
116,College,US,1/5/2021 21:40,64.8569,-147.8028,-11.2,75,40,2.57
117,Coihaique,CL,1/5/2021 21:40,-45.5752,-72.0662,77,22,0,10.29
118,Chara,RU,1/5/2021 21:40,56.9064,118.2631,-35.95,69,18,0.36
119,Manggar,ID,1/5/2021 21:40,-2.8833,108.2667,78.37,89,65,6.87
120,Sitka,US,1/5/2021 21:38,57.0531,-135.33,42.8,75,90,28.86
121,Cayenne,GF,1/5/2021 21:40,4.9333,-52.3333,80.6,83,0,4.7
122,Yerbogachen,RU,1/5/2021 21:38,61.2767,108.0108,-19.35,87,100,8.14
123,Shubarshi,KZ,1/5/2021 21:40,48.5872,57.1869,1.45,83,78,5.48
124,Gryfino,PL,1/5/2021 21:40,53.2524,14.4883,41,83,100,4
125,Banda Aceh,ID,1/5/2021 21:40,5.5577,95.3222,78.51,79,64,13.33
126,Ust-Nera,RU,1/5/2021 21:40,64.5667,143.2,-19.91,77,100,2.71
127,Kruisfontein,ZA,1/5/2021 21:40,-34.0033,24.7314,70,86,57,1.99
128,Touros,BR,1/5/2021 21:40,-5.1989,-35.4608,80.6,74,20,10.29
129,Hithadhoo,MV,1/5/2021 21:40,-0.6,73.0833,82.44,78,62,15.93
130,Bengkulu,ID,1/5/2021 21:40,-3.8004,102.2655,75.63,89,69,6.2
131,Makakilo City,US,1/5/2021 21:40,21.3469,-158.0858,78.8,65,75,9.17
132,Bighapur,IN,1/5/2021 21:40,26.35,80.6833,59,93,22,3.24
