City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
650,San Bartolome De Tirajana,ES,27.9248,-15.5733,64.4,88,40,13.8,scattered clouds
651,Lixourion,GR,38.2019,20.4314,56.32,77,100,15.5,overcast clouds
652,Tabuk,PH,17.4189,121.4443,82.8,75,41,4.61,scattered clouds
653,Tamandare,BR,-8.7597,-35.1047,76.35,83,55,7.81,broken clouds
654,Baraolt,RO,46.0751,25.6003,34.0,88,52,1.01,broken clouds
655,Lexington,US,37.9887,-84.4777,37.99,87,1,9.22,clear sky
656,Luoyang,CN,34.6836,112.4536,47.32,49,100,7.9,overcast clouds
657,Barcelona,ES,41.3888,2.159,57.2,67,20,13.8,few clouds
658,Rorvik,NO,64.8621,11.2373,31.48,91,38,45.43,scattered clouds
659,Hernani,ES,43.2662,-1.9762,62.6,45,0,16.11,clear sky
660,Gizo,SB,-8.103,156.8419,85.33,63,23,10.65,few clouds
661,Muscat,OM,23.6139,58.5922,68.0,68,40,5.75,scattered clouds
662,Xichang,CN,27.8964,102.2634,46.98,54,19,1.25,few clouds
663,Caravelas,BR,-17.7125,-39.2481,74.68,83,2,3.44,clear sky
664,Okitipupa,NG,6.5047,4.7839,72.3,98,97,1.54,overcast clouds
665,Imbituba,BR,-28.24,-48.6703,71.6,94,75,2.3,light rain
666,Immokalee,US,26.4187,-81.4173,59.0,94,20,1.88,few clouds
667,Ambilobe,MG,-13.2,49.05,77.92,88,86,1.14,overcast clouds
668,Emerald,AU,-23.5333,148.1667,87.01,48,100,8.05,overcast clouds
669,Nuevo Ideal,MX,24.8875,-105.0728,51.84,81,63,5.7,broken clouds
670,San Jacinto,US,33.7839,-116.9586,55.99,73,2,2.1,clear sky
671,Tual,ID,-5.6667,132.75,84.13,72,51,5.97,broken clouds
672,Mount Hagen,PG,-5.8581,144.2274,71.08,81,89,1.43,overcast clouds
673,El Alto,PE,-4.2714,-81.2147,71.49,81,81,16.08,broken clouds
674,Palu,ID,-0.8917,119.8707,91.26,50,27,1.9,scattered clouds
675,Senanga,ZM,-16.1167,23.2667,66.87,96,100,4.18,light rain
676,Konakovo,RU,56.7,36.7667,19.63,98,98,6.8,snow
677,Safford,US,32.834,-109.7076,53.6,66,1,5.75,clear sky
678,Namatanai,PG,-3.6667,152.4333,84.49,58,100,7.02,overcast clouds
679,Dijkot,PK,31.2167,72.9833,59.67,32,84,7.7,broken clouds
680,Chudovo,RU,59.1167,31.6833,30.72,98,100,8.14,light rain
681,Letterkenny,IE,54.95,-7.7333,33.98,89,0,7.29,clear sky
682,Chippewa Falls,US,44.9369,-91.3929,14.0,57,1,14.97,clear sky
683,Doba,TD,8.65,16.85,61.95,28,12,2.71,few clouds
684,Tongzi,CN,28.7829,105.0877,56.62,60,25,3.49,scattered clouds
685,Lodja,CD,-3.4833,23.4333,68.7,93,100,2.35,overcast clouds
686,Fallon,US,39.4735,-118.7774,39.99,45,75,4.61,broken clouds
687,Nola,IT,40.922,14.5329,57.0,78,86,1.99,overcast clouds
688,Lasa,IT,46.6166,10.7002,34.0,93,75,3.44,light snow
689,Sidi Ali,DZ,36.0998,0.4206,52.63,77,100,11.81,overcast clouds
690,Altamont,US,42.2068,-121.7372,39.2,45,90,12.66,overcast clouds
691,Hailar,CN,49.2,119.7,-0.8,90,0,7.94,clear sky
692,Vanino,RU,49.0869,140.2543,5.47,73,21,7.29,few clouds
693,Oskemen,KZ,49.9565,82.6119,26.6,80,75,6.71,broken clouds
694,Mamallapuram,IN,12.6264,80.1722,77.0,100,34,2.93,fog
695,Margate,GB,51.3813,1.3862,39.0,84,20,3.0,few clouds
696,Partizanskoye,RU,55.5006,94.39,10.02,95,100,4.7,light snow
